Rating,Surname,Name,Country,Weight,Sex
253,Dulorme, Thomas,PR,147,Male
255,Fernandez, Jon,ES,135,Male
256,Collazo, Luis,US,147,Male
259,Horn, Jeff,AU,154,Male
262,Abdukakhorov, Kudratillo,UZ,147,Male
263,Acosta, Angel,PR,112,Male
264,Adames, Carlos,DO,160,Male
265,Akhmedov, Batyr,RU,140,Male
266,Alvarado, Rene,NI,130,Male
267,Apochi, Efetobor,NG,200,Male
268,Araneta, Christian,PH,108,Male
269,Barrera, Sullivan,CU,175,Male
270,Barrios, Mario,US,140,Male
271,Bell, Albert,US,130,Male
272,Beltran, Raymundo,MX,135,Male
273,Billam-Smith, Chris,GB,200,Male
274,Boesel, Dominic,DE,175,Male
275,Bolotniks, Ricards,LV,175,Male
276,Boyd, Luke ,AU,122,Male
277,Brant, Rob,US,160,Male
278,Can, Xu,CN,126,Male
279,Canizales, Carlos,VE,108,Male
280,Caraballo, Carlos,PR,118,Male
281,Cash, Felix,GB,160,Male
282,Castro, Carlos,US,122,Male
283,Ceja, Julio,MX,122,Male
284,Centeno Jr, Hugo,US,160,Male
285,Chudinov, Fedor,RU,168,Male
286,Cintron, Jeyvier,PR,115,Male
287,Clary, Toka Kahn,US,126,Male
288,Coceres, Marcelo Esteban,AR,168,Male
289,Conceicao, Robson,BR,130,Male
290,Cuadras, Carlos,MX,115,Male
291,Davies, Ohara,GB,140,Male
292,De La Hoya, Diego,MX,122,Male
293,Dickens, Jazza,GB,126,Male
294,Dirrell, Anthony ,US,168,Male
295,Dlamini, Lerato,ZA,126,Male
296,Dusmatov, Hasanboy,UZ,108,Male
297,Easter Jr, Robert,US,140,Male
298,Edwards, Charlie ,GB,118,Male
299,Escandon, Oscar,CO,126,Male
300,Eubank Jr, Chris,GB,160,Male
301,Falcao, Esquiva,BR,160,Male
302,Fayfer, Ruslan ,RU,200,Male
303,Feliciano, Luis,US,140,Male
304,Fielding, Rocky,GB,168,Male
305,Flores Jr, Gabriel,US,130,Male
306,Foster, Charles,US,175,Male
307,Foster, O'Shaquie,US,130,Male
308,Fukuhara, Tatsuya,JP,105,Male
309,Fuzile, Azinga,ZA,130,Male
310,Giyasov, Shakhram,UZ,140,Male
311,Glowacki, Krzysztof,PL,200,Male
312,Gonzalez, Joet,US,126,Male
313,Gonzalez, Jonathan,PR,112,Male
314,Goulamirian, Arsen,FR,200,Male
315,Gutierrez, Andres,MX,130,Male
316,Gutierrez, Roger,VE,130,Male
317,Harris , Jay,GB,112,Male
318,Hart, Jesse,US,175,Male
319,Hatanaka, Kento ,JP,112,Male
320,Heno, Edward ,PH,108,Male
321,Hernandez, Rocky,MX,130,Male
322,Hisada, Tetsuya,JP,108,Male
323,Hovhannisyan, Azat,AM,122,Male
324,Hutchinson, Willy,GB,175,Male
325,Inoue, Takuma,JP,118,Male
326,Islam, Kanat,KZ,160,Male
327,Iwasa, Ryosuke,JP,122,Male
328,Iwata, Shokichi,JP,108,Male
329,Jimenez, Norbelto,DO,115,Male
330,Johnson, Tureano,BS,160,Male
331,Kalkreuth, Tristan ,US,200,Male
332,Kameda, Tomoki,JP,122,Male
333,Kamilov, Ruslan,RU,130,Male
334,Kashinsky, Yury ,RU,200,Male
335,Kimura, Sho,JP,108,Male
336,Korobov, Matvey,US,160,Male
337,Lebron, Henry,PR,130,Male
338,Lee, Brandun ,US,140,Male
339,Lopez, Adam,US,126,Male
340,Magdaleno, Jessie ,US,126,Male
341,Marrero, Claudio,DO,130,Male
342,Martin, Sandor ,ES,140,Male
343,Martinez, Xavier,US,130,Male
344,Masoud, Shabaz,GB,126,Male
345,Matias, Subriel,PR,140,Male
346,McCarthy, Tommy,GB,200,Male
347,McGregor, Lee,GB,118,Male
348,Mchunu, Thabiso,ZA,200,Male
349,McKenna, Tyrone,GB,140,Male
350,Melikuziev, Bektemir,UZ,168,Male
351,Melindo, Milan,PH,112,Male
352,Merhy, Ryad,BE,200,Male
