Users;Name of Satellite, Alternate Names;Country of Operator/Owner
Civil;BRITE-CA-1 (BRITE Toronto);Canada
Government;BRITE-PL-1 (BRIght-star Target Explorer - Poland, Lem);Multinational
Government;BRITE-PL-2 (BRIght-star Target Explorer - Poland, Hevelius);Multinational
Commercial;BRO-One;France
Commercial;BSAT-3A;Japan
Commercial;BSAT-3B;Japan
Commercial;BSAT-3C/JCSat 110-R;Japan
Commercial;BSAT-4A;Japan
Military/Civil;Buccaneer RMM;Australia
Government;Bufeng-1A;China
Government;Bufeng-1B;China
Commercial;Bugsat-1 (Tita);Argentina
Commercial;BulgariaSat-1;Bulgaria
Government;Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation);France/USA
Government/Civil;Can-X2 (Canadian Advanced Nanospace experiment);Canada
Government/Civil;Can-X4;Canada
Government/Civil;Can-X5;Canada
Government/Civil;CanX-7;Canada
Commercial;Capella-1 (Denali);USA
Government;CartoSat 1 (IRS P5);India
Government;CartoSat 2 (IRS P7, CartoSat 2AT);India
Military;CartoSat 2A;India
Government;CartoSat 2B;India
Government;CartoSat 2C;India
Government;CartoSat 2D;India
Government;CartoSat 2E;India
Government;CartoSat 2F;India
Government;CartoSat 3;India
Government;Cassiope (CAScade SmallSat and Ionospheric Polar Explorer);Canada
Government/Civil;CATSat-1;USA
Government/Civil;CATSat-2;USA
Military;CBAS-1 (USA 283, Continuous Broadcast Augmenting SATCOM-1);USA
Government;CBERS 4 (China-Brazil Earth Resources Satellite 4);China/Brazil
Government;CBERS 4A (China-Brazil Earth Resources Satellite 4A);China/Brazil
Commercial;CBNT-1 (Carbonite 1);United Kingdom
Commercial;CBNT-2 (Carbonite 2);United Kingdom
Military;CELTEE-1 (CubeSat Enhanced Locator Transponder Evaluation Experiment-1);USA
Commercial;Centauri-1;Australia
Commercial;Centauri-2;Australia
Commercial;Centispace-1-S1;China
Government;CeReS (Compact Radiation belt Explorer);USA
Commercial;CE-SAT-1 (Canon Electric Satellite 1);Japan
Government;CFESat (Cibola Flight Experiment Satellite);USA
Government;CFOSat (China-France Oceanography Satellite);China/France
Government;Chandra X-Ray Observatory (CXO);USA
Government;Chao Fenbianlu Duo Guangpu Chengxiang Weixing (Ultra-resolution multispectral imaging satellite);China
Government;CHEOPS (CHaracterising ExOPlanet Satellite);ESA
Government/Civil;CHOMPTT (CubeSat Handling Of Multisystem Precision Time Transfer);USA
Government;Chuangxin 1-1 (Innovation 1-1, Chuang Xin 1, CX-1-1);China
Government;Chuangxin 1-2 (Innovation 1-2);China
Government;Chuangxin 1-3 (Innovation 1-3);China
Government;Chuangxin 1-4 (Innovation 1-4);China
Government;Chuangxin-3;China
Commercial/Civil;ChubuSat 1 (Kinshachi-1);Japan
Commercial/Civil;ChubuSat 2 (Kinshachi-2);Japan
Commercial/Civil;ChubuSat 3 (Kinshachi-3);Japan
Commercial;Cicero-1;USA
Commercial;Cicero-10 (Community Initiative for Cellular Earth Remote Observation-10);USA
Commercial;Cicero-2;USA
Commercial;Cicero-3;USA
Commercial;Cicero-6  (Community Initiative for Cellular Earth Remote Observation-6);USA
Commercial;Cicero-7 (Community Initiative for Cellular Earth Remote Observation-7);USA
Commercial;Cicero-8 (Community Initiative for Cellular Earth Remote Observation-8);USA
Commercial;Ciel-2;Canada
Civil;CINEMA-1 (Cubesat for Ion, Neutral, Electron, Magnetic fields);USA
Commercial/Civil;CIRiS (Compact Radiometer in Space);USA
Military;CLIO (USA 257);USA
Government/Civil;Cloudsat;USA
Government/Civil;Compass-2 (QB50-DE04);Germany
Government;"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)";South Korea
Military;COMSATBw-1 (COmmunications SATellite für BundesWehr);Germany
Military;COMSATBw-2 (COmmunications SATellite für BundesWehr);Germany
Military;Condor E2 ;South Africa
Military;Coriolis (Windsat);USA
Government;COSMIC 2-1 (COSMIC FM-1, Formosat 7A);Taiwan/USA
Government;COSMIC 2-2 (COSMIC FM-2, Formosat 7B);Taiwan/USA
Government;COSMIC 2-3 (COSMIC FM-3, Formosat 7C);Taiwan/USA
Government;COSMIC 2-4 (COSMIC FM-4, Formosat 7D);Taiwan/USA
Government;COSMIC 2-5 (COSMIC FM-5, Formosat 7E);Taiwan/USA
Government;COSMIC 2-6 (COSMIC FM-6, Formosat 7F);Taiwan/USA
Government/Civil;COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate);Taiwan/USA
Government/Civil;COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate);Taiwan/USA
Government/Civil;COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate);Taiwan/USA
Government/Civil;COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate);Taiwan/USA
Government/Civil;COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate);Taiwan/USA
Military;Cosmos 2504;Russia
Military;Cosmos 2519 (Napryazhenie No. 1?);Russia
Military;Cosmos 2535;Russia
Military;Cosmos 2536;Russia
Military;Cosmos 2542;Russia
Military;Cosmos 2543;Russia
Military;Cosmos 3537;Russia
Military;Cosmos 3538;Russia
Military/Civil;COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation);Italy
Military/Government;COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation);Italy
Military/Government;COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation);Italy
Military/Government;COSMO-Skymed 4 (Constellation of small Satellites for Mediterranean basin Observation);Italy
Government/Civil;CP-10 (Exocube);USA
Government;Cryosat-2 ;ESA
Military/Government;CSG-1 (COSMO-SkyMed Second Generation);Italy
Civil;CSIM-FD (Compact Spectral Irradiance Monitor - Flight Demonstration);USA
Military;CSO-1 (Optical Space Component-1);France
Civil;Cubebug 2 (Manolito, LO-74);Argentina
Government/Civil;CubeRRT;USA
Civil;CubeSail USAT;USA
Civil;Cubesat XI-IV (Oscar 57, CO-57);Japan
Government;CYGNSS FM01 (Cyclone Global Navigation Satellite System);USA
Government;CYGNSS FM02 (Cyclone Global Navigation Satellite System);USA
Government;CYGNSS FM03 (Cyclone Global Navigation Satellite System);USA
Government;CYGNSS FM04 (Cyclone Global Navigation Satellite System);USA
Government;CYGNSS FM05 (Cyclone Global Navigation Satellite System);USA
Government;CYGNSS FM06 (Cyclone Global Navigation Satellite System);USA
Government;CYGNSS FM07 (Cyclone Global Navigation Satellite System);USA
Government;CYGNSS FM08 (Cyclone Global Navigation Satellite System);USA
Government;Daichi-2 (Advanced Land Observing Satellite-2, ALOS 2 2);Japan
Government;DAMPE (Dark Matter Particle Explorer);China
Civil;DAVE (Damping and Vibrations Experiment, CP7);USA
Civil;DaVinci;USA
Civil;DCBB (Kaituo-1B, CAS-3G);China
Government;Deimos 1;Spain
Government;Deimos 2 ;Spain
Civil;Delfi-C3 (DO-64);Netherlands
Civil;Delfini-1;Denmark
Government;Dellingr;USA
Military;DHFR (DARPA High Frequency Receiver);USA
Commercial;Diamond Blue (3 Diamonds 1);United Kingdom
Commercial;Diamond Green (3 Diamonds 2);United Kingdom
Commercial;Diamond Red (3 Diamonds 3);United Kingdom
Commercial;Dido-2;Switzerland
Commercial;DirecTV-10;USA
Commercial;DirecTV-11;USA
Commercial;DirecTV-12;USA
Commercial;DirecTV-14;USA
Commercial;DirecTV-15;USA
Commercial;DirecTV-5 (Tempo 1);USA
Commercial;DirecTV-7S ;USA
Commercial;DirecTV-8;USA
Commercial;DirecTV-9S;USA
Government/Civil;Diwata-1 (PHL-Microsat-1);Philippines
Civil;Diwata-2B;Japan
Government;DLR Tubsat ;Germany
Commercial;DMC 3-1 (Disaster Monitoring Constellation);United Kingdom
Commercial;DMC 3-2 (Disaster Monitoring Constellation);United Kingdom
Commercial;DMC 3-3 (Disaster Monitoring Constellation);United Kingdom
Military;DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131);USA
Military;DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147);USA
Military;DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172);USA
Military;DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 173);USA
Military;DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210);USA
Commercial;Dove  4p-12 (0 Flock 4p-12 2271);USA
Commercial;Dove 1c-1  (0 Flock 1C-1 0903);USA
Commercial;Dove 1c-10  (0 Flock 1C-10 090C);USA
Commercial;Dove 1c-11 (0 Flock 1C-11 090D);USA
Commercial;Dove 1c-2  (0 Flock 1C-2 0904);USA
Commercial;Dove 1c-3  (0 Flock 1C-3 0905);USA
Commercial;Dove 1c-4  (0 Flock 1C-4 0906);USA
Commercial;Dove 1c-5  (0 Flock 1C-5 0907);USA
Commercial;Dove 1c-6  (0 Flock 1C-6 0908);USA
Commercial;Dove 1c-7  (0 Flock 1C-7 0909);USA
Commercial;Dove 1c-8  (0 Flock 1C-8 090A);USA
