Users;Name of Satellite, Alternate Names;Country of Operator/Owner
Military;Improved Trumpet 4 (NROL-22, National Reconnaissance Office Launch-22, SBIRS HEO-1, Twins 1, USA 184);USA
Military;Improved Trumpet 5 (NROL-28, National Reconnaissance Office Launch-28, SBIRS HEO-2, Twins 2, USA 200);USA
Military;Improved Trumpet 6 (NROL-35, National Reconnaissance Office Launch-35, SBIRS HEO-3, USA 259);USA
Military;Improved Trumpet 7 (NROL-42, National Reconnaissance Office Launch-42, SBIRS HEO-4, USA 278);USA
Commercial;INMARSAT 3 F1 ;United Kingdom
Commercial;INMARSAT 3 F2 ;United Kingdom
Commercial;INMARSAT 3 F3 ;United Kingdom
Commercial;INMARSAT 3 F5 ;United Kingdom
Commercial;INMARSAT 4 F1;United Kingdom
Commercial;INMARSAT 4 F2;United Kingdom
Commercial;INMARSAT 4 F3;United Kingdom
Commercial;INMARSAT 5 F1;United Kingdom
Commercial;INMARSAT 5 F2;United Kingdom
Commercial;INMARSAT 5 F3;United Kingdom
Commercial;INMARSAT 5 F4;United Kingdom
Commercial;INMARSAT 5 F5;United Kingdom
Government/Commercial;INMARSAT IV-A F4 (Alphasat I-XL);United Kingdom/ESA
Government;INNOSat-2 (Innovation Satellite-2);Malaysia
Government;INS-1A (ISRO Nano Satellite);India
Government;INS-1B (ISRO Nano Satellite);India
Government;INS-1C (ISRO Nano Satellite);India
Government;INSAT 3D (Indian National Satellite);India
Government;INSAT 3DR (Indian National Satellite);India
Government;INSAT 4B (Indian National Satellite);India
Government;INSAT 4CR (Indian National Satellite);India
Government;Integral (INTErnational Gamma-Ray Astrophysics Laboratory);ESA/USA/Russia
Commercial;Intelsat 10 (PAS-10);USA
Commercial;Intelsat 10-02 (Thor 4);USA
Commercial;Intelsat 11 (PAS 11);USA
Commercial;Intelsat 12 (Europe*Star 1, Europe*Star FM1, IS-12, PAS-12);USA
Commercial;Intelsat 14 (IS-14);USA
Commercial;Intelsat 15 (IS-15, JCSat 85);USA
Commercial;Intelsat 16 (IS-16);USA
Commercial;Intelsat 17 (IS-17);USA
Commercial;Intelsat 18 (IS-18);USA
Commercial;Intelsat 19 (IS-19);USA
Commercial;Intelsat 1R (IS-1R, PAS-1R, PanAmSat 1R);USA
Commercial;Intelsat 20 (IS-20);USA
Commercial;Intelsat 21 (IS-21);USA
Commercial;Intelsat 22;USA
Commercial;Intelsat 23;USA
Commercial;Intelsat 25 (IS-25, Protostar 1, Chinasat 8);USA
Commercial;Intelsat 26 (JCSat R, JCSAT-4, Japan Communications Satellite 4);USA
Commercial;Intelsat 30/DLA 1;USA
Commercial;Intelsat 31/DLA 2;USA
Commercial;Intelsat 33 (IS-33);USA
Commercial;Intelsat 34;USA
Commercial;Intelsat 35E;USA
Commercial;Intelsat 36 (IS-36);USA
Commercial;Intelsat 37E (IS-37E);USA
Commercial;Intelsat 39;USA
Commercial;Intelsat 5 (Arabsat 2C, Panamsat-5, PAS-5);USA
Commercial;Intelsat 9 (IS-9, PAS-9) ;USA
Commercial;Intelsat 901 ;USA
Commercial;Intelsat 902 ;USA
Commercial;Intelsat 903 ;USA
Commercial;Intelsat 904 ;USA
Commercial;Intelsat 905 ;USA
Commercial;Intelsat 906 ;USA
Commercial;Intelsat 907 ;USA
Commercial;Intelsat New Dawn (Intelsat 28);USA
Government;International Space Station (ISS [first element Zarya]);Multinational
Government;Interstellar Boundary EXplorer (IBEX);USA
Commercial;IOD-1 GEMS (In Orbit Demonstration-1 / Global Environmental Monitoring Satellite);USA
Government/Commercial;Iridium 45 (Iridium SV045);USA
Government/Commercial;Iridium 61 (Iridium SV061);USA
Government/Commercial;Iridium 96 (Iridium SV096);USA
Government/Commercial;Iridium Next SV 102;USA
Government/Commercial;Iridium Next SV 103;USA
Government/Commercial;Iridium Next SV 104;USA
Government/Commercial;Iridium Next SV 105;USA
Government/Commercial;Iridium Next SV 106;USA
Government/Commercial;Iridium Next SV 107;USA
Government/Commercial;Iridium Next SV 108;USA
Government/Commercial;Iridium Next SV 109;USA
Government/Commercial;Iridium Next SV 110;USA
Government/Commercial;Iridium Next SV 111;USA
Government/Commercial;Iridium Next SV 112;USA
Government/Commercial;Iridium Next SV 113;USA
Government/Commercial;Iridium Next SV 114;USA
Government/Commercial;Iridium Next SV 115;USA
Government/Commercial;Iridium Next SV 116;USA
Government/Commercial;Iridium Next SV 117;USA
Government/Commercial;Iridium Next SV 118;USA
Government/Commercial;Iridium Next SV 119;USA
Government/Commercial;Iridium Next SV 120;USA
Government/Commercial;Iridium Next SV 121;USA
Government/Commercial;Iridium Next SV 122;USA
Government/Commercial;Iridium Next SV 123;USA
Government/Commercial;Iridium Next SV 124;USA
Government/Commercial;Iridium Next SV 125;USA
Government/Commercial;Iridium Next SV 126;USA
Government/Commercial;Iridium Next SV 127;USA
Government/Commercial;Iridium Next SV 128;USA
Government/Commercial;Iridium Next SV 129;USA
Government/Commercial;Iridium Next SV 130;USA
Government/Commercial;Iridium Next SV 131;USA
Government/Commercial;Iridium Next SV 132;USA
Government/Commercial;Iridium Next SV 133;USA
Government/Commercial;Iridium Next SV 134;USA
Government/Commercial;Iridium Next SV 135;USA
Government/Commercial;Iridium Next SV 136;USA
Government/Commercial;Iridium Next SV 137;USA
Government/Commercial;Iridium Next SV 138;USA
Government/Commercial;Iridium Next SV 139;USA
Government/Commercial;Iridium Next SV 140;USA
Government/Commercial;Iridium Next SV 141;USA
Government/Commercial;Iridium Next SV 142;USA
Government/Commercial;Iridium Next SV 143;USA
Government/Commercial;Iridium Next SV 144;USA
Government/Commercial;Iridium Next SV 145;USA
Government/Commercial;Iridium Next SV 146;USA
Government/Commercial;Iridium Next SV 147;USA
Government/Commercial;Iridium Next SV 148;USA
Government/Commercial;Iridium Next SV 149;USA
Government/Commercial;Iridium Next SV 150;USA
Government/Commercial;Iridium Next SV 151;USA
Government/Commercial;Iridium Next SV 152;USA
Government/Commercial;Iridium Next SV 153;USA
Government/Commercial;Iridium Next SV 154;USA
Government/Commercial;Iridium Next SV 155;USA
Government/Commercial;Iridium Next SV 156;USA
Government/Commercial;Iridium Next SV 157;USA
Government/Commercial;Iridium Next SV 158;USA
Government/Commercial;Iridium Next SV 159;USA
Government/Commercial;Iridium Next SV 160;USA
Government/Commercial;Iridium Next SV 161;USA
Government/Commercial;Iridium Next SV 162;USA
Government/Commercial;Iridium Next SV 163 ;USA
Government/Commercial;Iridium Next SV 164;USA
Government/Commercial;Iridium Next SV 165;USA
Government/Commercial;Iridium Next SV 166;USA
Government/Commercial;Iridium Next SV 167;USA
Government/Commercial;Iridium Next SV 168;USA
Government/Commercial;Iridium Next SV 169;USA
Government/Commercial;Iridium Next SV 170;USA
Government/Commercial;Iridium Next SV 171;USA
Government/Commercial;Iridium Next SV 172;USA
Government/Commercial;Iridium Next SV 173;USA
Government/Commercial;Iridium Next SV 175;USA
Government/Commercial;Iridium Next SV 176;USA
Government/Commercial;Iridium Next SV 180;USA
Government;IRIS (Interface Region Imaging Spectrometer);USA
Government;IRNSS-1A (Indian Regional Navigation Satellite System);India
Government;IRNSS-1B (Indian Regional Navigation Satellite System);India
Government;IRNSS-1C (Indian Regional Navigation Satellite System);India
Government;IRNSS-1D (Indian Regional Navigation Satellite System);India
Government;IRNSS-1E (Indian Regional Navigation Satellite System);India
Government;IRNSS-1F (Indian Regional Navigation Satellite System);India
Government;IRNSS-1G (Indian Regional Navigation Satellite System);India
Government;IRNSS-1I (Indian Regional Navigation Satellite System);India
Government;IRS-P6 (Resourcesat-1) ;India
Civil;Irvine-1;USA
Commercial;iSat (D-Star ONE iSat);Czech Republic
Government/Civil;ISX (Ionospheric Scintillation Explorer, CP-11);USA
Civil;ITU-pSAT1 (Istanbul Technical University Picosat-1);Turkey
Civil;JAISAT-1;Thailand
Government;Jason 3;USA/France
Commercial;JCSat 10 (Japan Communications Satellite 10, JCSat 3A);Japan
Commercial;JCSat 110 (N-Sat-110, Superbird-D, Superbird-5, N-Sat-110);Japan
Commercial;JCSat 13 (Japan Communications Satellite 13);Japan
Commercial;JCSat 14 (JCSat 2B, Japan Communications Satellite 14);Japan
Commercial;JCSat 15;Japan
Commercial;JCSat 16 ;Japan
Commercial;JCSat 17;Japan
Commercial;JCSat 18/Kacific 1;Japan/Singapore
Commercial;JCSat 2A (JCSAT 8, Japan Communications Satellite 8);Japan
Commercial;JCSat 4A (JCSAT 6, Japan Communications Satellite 6);Japan
Commercial;JCSat 9 (JCSat 5A, Japanese Communications Satellite 9);Japan
Commercial;JCSat RA (JCSat 12, Japan Communications Satellite 12);Japan
Commercial;Jiading-1 (OKW-01);China
Commercial;Jilin-1 (High Resolution 03-A);China
Commercial;Jilin-1 (Lingqiao-A, Lingqiao Video A);China
Commercial;Jilin-1 (Lingqiao-B, Lingqiao Video B);China
Commercial;Jilin-1 Gaofen 02A;China
Commercial;Jilin-1 Gaofen 02B;China
Commercial;Jilin-1 Kuanfu-1;China
Commercial;Jilin-1-1 (Optical A, Lingqiao 1);China
Commercial;Jilin-1-10 (Guanpu 2);China
Commercial;Jilin-1-3 (Lingqiao 3);China
Commercial;Jilin-1-4 (Shipin 4);China
Commercial;Jilin-1-5 (Shipin 5);China
Commercial;Jilin-1-6 (Shipin 6);China
Commercial;Jilin-1-7 (Shipin 7);China
Commercial;Jilin-1-8 (Shipin 8);China
Commercial;Jilin-1-9 (Guanpu 1);China
Civil;Jingshi-1 (BNU-1);China
Civil;JYISat (JO 97);Jordan
Government;Kaituo-1A (Xinyan-2);China
Government;Kanopus-B (Kanopus Vulcan 1) ;Russia
Government;Kanopus-V-IK-2;Russia
Government;Kanopus-V-IK-3;Russia
Government;Kanopus-V-IK-4;Russia
Government;Kanopus-V-IK-5;Russia
Government;Kanopus-V-IK-6;Russia
Government;KazEOSat-1 (Kazcosmos Earth Observation Satellite);Kazakhstan
Government;KazEOSat-2 (kazcosmos Earth Observation Satellite);Kazakhstan
Commercial;KazSat-2;Kazakhstan
Commercial;KazSat-3;Kazakhstan
Commercial;KazSciSat-1;Kazakhstan
Commercial;KazSTSAT (Kazakh Science and Technology Satellite);Kazakhstan
Civil;Kent Ridge 1;Singapore
Commercial;Kepler-2 CASE;Canada
Military;KestrelEye IIM;USA
Military;Keyhole 5 (Advanced KH-11, KH-12-5, Improved Crystal, EIS-3, USA 186);USA
Military;Keyhole 6 (NRO L49, Advanced KH-11, KH-12-6, Improved Crystal, USA 224);USA
Military;Keyhole 7 (NRO L65, Advanced KH-11, Improved Crystal, USA 245);USA
Military;Keyhole 8 (NRO L71, Advanced KH-11, Improved Crystal Block 5, USA 290);USA
Government;KhalifaSat;United Arab Emirates
Commercial;KIPP-1 ;United Kingdom
Military;Kirameki 2 (DSN-2);Japan
Civil;KJSY-1 (Kongjian Shiyan-1);China
Civil;KKS-1 (Kouku Kousen Satellite One, Kiseki);Japan
Commercial;KL-Alpha-A ;China/Germany
Commercial;KL-Alpha-B;China/Germany
Government/Commercial;Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2);South Korea
Government/Commercial;Kompsat-3 (Arirang 3, Korean Multipurpose Satellite-3);South Korea
Government/Commercial;Kompsat-3A (Arirang 3A, Korean Multipurpose Satellite-3A);South Korea
Government/Commercial;Kompsat-5 (Arirang 5, Korean Multipurpose Satellite-4);South Korea
Military;Kondor (Cosmos 2487);Russia
Military/Commercial;Koreasat 5 (Mugungwha 5);South Korea
Commercial;Koreasat 5A (Mugungwha 5A);South Korea
Commercial;Koreasat 6 (Mugungwha 6);South Korea
Commercial;Koreasat 7 (Mugungwha 7);South Korea
Government;KX-09;China
Military;Lacrosse/Onyx 3 (Lacrosse-3, USA 133);USA
Military;Lacrosse/Onyx 4 (Lacrosse-4, USA 152);USA
Military;Lacrosse/Onyx 5 (Lacrosse-5, NROL 16, USA 182);USA
Commercial;Ladybird 1 (Piao chong 1);China
Commercial;Ladybird 2 (Piao chong 2);China
Commercial;Ladybird 3 (Piao chong 3);China
Commercial;Ladybird 4 (Piao chong 4);China
Commercial;Ladybird 5 (Piao chong 5);China
Commercial;Ladybird 6 (Piao chong 6);China
Commercial;Ladybird 7 (Piao chong 7);China
Commercial;Landmapper BC3.v2 ;USA
Commercial;Landmapper BC4;USA
Government;Landsat 7 ;USA
Government;Landsat 8;USA
Government;LaoSat-1;Laos
Government;LAPAN A2;Indonesia
Government;LAPAN A3;Indonesia
Government;LAPAN-Tubsat (LAPAN A1);Indonesia
Commercial;LatinSat A;Argentina
Commercial;LatinSat B ;Argentina
Commercial;Lemur-1;USA
Commercial;Lemur-2 Alexander (Lemur 2F80);USA
Commercial;Lemur-2 Chris (Lemur 2F4);USA
Commercial;Lemur-2 Jeroen (Lemur 2F3);USA
Commercial;Lemur-2 Joel (Lemur 2F1);USA
Commercial;Lemur-2 Peter (Lemur 2F2);USA
Commercial;Lemur-2-Alex-Maddy (Lemur 2FM106);USA
Commercial;Lemur-2-AndiS (Lemur 2F47);USA
Commercial;Lemur-2-Angela (Lemur 2F31);USA
Commercial;Lemur-2-Anubhavthakur (Lemur 2F16);USA
Commercial;Lemur-2-ArtFischer (Lemur 2F43);USA
Commercial;Lemur-2-Beaudacious (Lemur 2FM98);USA
Commercial;Lemur-2-BrianDavie (Lemur 2F52);USA
Commercial;Lemur-2-BrownCow (Lemur 2F71);USA
Commercial;Lemur-2-Chanusiak (Lemur 2F83);USA
Commercial;Lemur-2-ChristinaHolt (Lemur 2F90) ;USA
Commercial;Lemur-2-DaisyHarper (Lemur 2F95);USA
Commercial;Lemur-2-DaveWilson (Lemur 2F69);USA
Commercial;Lemur-2-Dembitz (Lemur 2F49);USA
Commercial;Lemur-2-Duly (Lemur 2F87);USA
Commercial;Lemur-2-Dunlop (Lemur 2F57);USA
Commercial;Lemur-2-DustInTheWind (Lemur 2FM105) ;USA
Commercial;Lemur-2-Ejatta (Lemur 2FM104);USA
Commercial;Lemur-2-Elham (Lemur 2FM99);USA
Commercial;Lemur-2-Furiaus (Lemur 2F45);USA
Commercial;Lemur-2-Greenberg (Lemur 2F42);USA
Commercial;Lemur-2-GregRobinson (Lemur 2FM108);USA
Commercial;Lemur-2-Gustavo (Lemur 2F89);USA
Commercial;Lemur-2-HiMomAndDad (Lemur 2FM109);USA
Commercial;Lemur-2-JennnyBarna (Lemur 2F30);USA
Commercial;Lemur-2-Jin-Luen (Lemur 2F76);USA
Commercial;Lemur-2-Jobanputra (Lemur 2-F22);USA
Commercial;Lemur-2-JohanLoran (Lemur FM97);USA
Commercial;Lemur-2-JPSquared (Lemur 2FMf110);USA
Commercial;Lemur-2-Kadi (Lemur 2F74);USA
Commercial;Lemur-2-Kevin (Lemur 2F51);USA
Commercial;Lemur-2-Kobyszcze (Lemur 2F86);USA
Commercial;Lemur-2-KungFoo (Lemur 2F37);USA
Commercial;Lemur-2-LillyJo (Lemur 2FM107);USA
Commercial;Lemur-2-Lisasaurus (Lemur 2F40);USA
Commercial;Lemur-2-Liu-Poh-Chun (Lemur 2F55);USA
Commercial;Lemur-2-LucyBryce (Lemur 2F36);USA
Commercial;Lemur-2-Lynsey-Symo (Lemur 2F41);USA
Commercial;Lemur-2-Marshall (Lemur 2F73);USA
Commercial;Lemur-2-McCafferty  (Lemur 2F70);USA
Commercial;Lemur-2-McCullagh (Lemur 2F56);USA
Commercial;Lemur-2-McPeake (Lemur 2F38);USA
Commercial;Lemur-2-Mia-Grace (Lemur 2F27);USA
Commercial;Lemur-2-Monson (Lemur 2F44);USA
Commercial;Lemur-2-Morag (Lemur 2FM101);USA
Commercial;Lemur-2-NatalieMurray (Lemur 2F94);USA
Commercial;Lemur-2-NoguesCorreig (Lemur 2F28);USA
Commercial;Lemur-2-Orzulak (Lemur 2F84);USA
Commercial;Lemur-2-Pappy (Lemur 2FM108);USA
Commercial;Lemur-2-PeterG (Lemur 2F48);USA
Commercial;Lemur-2-PeterWebster (Lemur 2F68);USA
Commercial;Lemur-2-Rdeaton (Lemur 2-F25);USA
Commercial;Lemur-2-RemyColton (Lemur 2F88);USA
Commercial;Lemur-2-RobMoore (Lemur 2F33);USA
Commercial;Lemur-2-RocketJonah (Lemur 2F54);USA
Commercial;Lemur-2-RomaCoste (Lemur 2F53);USA
Commercial;Lemur-2-Sam-Amelia (Lemur 2F39);USA
Commercial;Lemur-2-SarahBettyBoo (Lemur 2F93);USA
Commercial;Lemur-2-Satchmo (Lemur 2-F24);USA
Commercial;Lemur-2-ShainaJohl (Lemur 2F34);USA
Commercial;Lemur-2-Smita-Sharad (Lemur 2-F26);USA
Commercial;Lemur-2-Sokolsky (Lemur 2-F14);USA
Commercial;Lemur-2-Spire-Minions (Lemur 2F23);USA
Commercial;Lemur-2-SpiroVision (Lemur 2F32);USA
Commercial;Lemur-2-Tachikoma (Lemur 2F29);USA
Commercial;Lemur-2-Tallhamn-ATC (Lemur 2F72);USA
Commercial;Lemur-2-TheNickMolo (Lemur 2F75);USA
Commercial;Lemur-2-Theodosia (Lemur 2FM111);USA
Commercial;Lemur-2-TinyKev (Lemur 2F92) ;USA
Commercial;Lemur-2-TomHenderson (Lemur 2F78);USA
Commercial;Lemur-2-UramChanSol (Lemur 2F77);USA
Commercial;Lemur-2-Victor-Andrew (Lemur 2FM100);USA
Commercial;Lemur-2-Vladimir (Lemur 2F85);USA
Commercial;Lemur-2-Vu (Lemur 2F81);USA
Commercial;Lemur-2-Wanli (Lemur 2FM102);USA
Commercial;Lemur-2-Wingo (Lemur 2-F17);USA
Commercial;Lemur-2-Xiaoqing (Lemur 2F15);USA
Commercial;Lemur-2-XueniTerence (Lemur 2F35);USA
Commercial;Lemur-2-Yndrd (Lemur 2FM103);USA
Commercial;Lemur-2-YongLin (Lemur 2F50);USA
Commercial;Lemur-2-Yuasa (Lemur 2F79);USA
Commercial;Lemur-2-Zachary (Lemur 2F46);USA
Commercial;Lemur-2-Zo (Lemur 2F91);USA
Commercial;Lemur-2-Zupanski (Lemur 2F82);USA
Civil;LEO CP9 (Launch Environment Observer);USA
Commercial;LEO Vantage 1;Canada
Commercial;LightSat (D-Star One);Germany
Civil;LilacSat-2 (CAS-3H, Zidingxiang-2);China
Commercial;Ling Qiao;China
Commercial;Lingque 1A;China
Military;LKW-1 (Land Exploration Satellite 1);China
Military;LKW-2 (Land Exploration Satellite 2);China
Military;LKW-3 (Land Exploration Satellite 3);China
Military;LKW-4 (Land Exploration Satellite 4);China
Military;Lotos-S1 (Cosmos 2455);Russia
Military;Lotos-S1 (Cosmos 2524);Russia
Military;Lotos-S1 (Cosmos 2528);Russia
Military;Lotos-S2 (Cosmos 2502);Russia
Commercial;LQSat (Lingqiao Satellite, Jilian 1A);China
Government;Luch 5A;Russia
Government;Luch 5B;Russia
Government;Luch 5V;Russia
Military;Luch/Olympus;Russia
Commercial;Lucky-7;Czech Republic
Commercial/Civil;Lume-1;Spain
Civil;Luojia 1;China
Government;M3MSat (Maritime Monitoring and Messaging Microsatellite);Canada
Commercial/Civil;MakerSat-1;USA
Government;Maroc Tubsat ;Morocco/Germany
Civil;Max Valier;Italy
Civil;Maya-1 (Birds-2);Philippines
Civil;"M-Cubed/E1P-U2 (Michigan Multipurpose Minisat; Explorer 1 Prime - Unit 2 -  HRBE [William A. Hiscock Radiation Belt Explorer])";USA
Commercial;Measat 3 (Malaysia East Asia Sat 3);Malaysia
Commercial;Measat 3A (Malaysia East Asia Sat 3A);Malaysia
Commercial;Measat 3B (Malaysia East Asia Sat 3B);Malaysia
Government;Megha-Tropiques;India/France
Commercial;Merah Putih (Telkom 4);Indonesia
Military;Mercury 1 (Advanced Vortex 1, USA 105);USA
Military;Mercury 2 (Advanced Vortex 2, USA 118);USA
Military;Mercury 3 (NROL 67, USA 250);USA
Military;Meridian-3;Russia
Military;Meridian-4;Russia
Military;Meridian-6 (Meridian 16L);Russia
Military;Meridian-7 (Meridian 17L);Russia
Military;Meridian-8 (Meridian 18L);Russia
Military;Meridian-9 (Meridian 19L);Russia
Government;Meshbed;USA
Government;Meteor-M 2.2;Russia
Government;Meteor-M N-2;Russia
Government/Civil;Meteosat 10 (MSGalaxy-3,MSG 3);Multinational
Government/Civil;Meteosat 11 (MSG 4);Multinational
Government/Civil;Meteosat 8 (MSGalaxy-1, MSG-1);Multinational
Government/Civil;Meteosat 9 (MSGalaxy-2, MSG 2);Multinational
Government/Civil;MetOp-A (Meteorological Operational satellite);Multinational
Government/Civil;MetOp-B (Meteorological Operational satellite);Multinational
Government/Civil;MetOp-C (Meteorological Operational satellite);Multinational
Commercial;MEV-1 (Mission Extension Vehicle-1) ;USA
Government/Military;Mexsat-3 (Mexsat Bicentenario);Mexico
Government;Mexsat3 (Morelos-3);Mexico
Government;MicroDragon;Vietnam
Civil/Government;MicroMAS-2A (Micro-sized Microwave Atmospheric Satellite);USA
Government;Microsat-TD;India
Civil/Government;Mikhailo Lomonosov (MVL-300);Russia
Military;Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay);USA
Military;Milstar DFS-4 (USA 157, Milstar 2-F2) (Military Strategic and Tactical Relay);USA
Military;Milstar DFS-5 (USA 164, Milstar 2-F3) (Military Strategic and Tactical Relay);USA
Military;Milstar DFS-6 (USA 169) (Military Strategic and Tactical Relay);USA
Government/Civil;MINXSS-2 (Miniature X-Ray Solar Spectrometer-2);USA
Government;MMS-1 (Magnetospheric Multiscale Mission);USA
Government;MMS-2 (Magnetospheric Multiscale Mission);USA
Government;MMS-3 (Magnetospheric Multiscale Mission);USA
Government;MMS-4 (Magnetospheric Multiscale Mission);USA
Government;Mohammed VI-A ;Morocco
Government;Mohammed VI-B ;Morocco
Government;MOST (Microvariability & Oscillations of STars);Canada
Government/Civil;MOVE II (Munich Orbital Verification Experiment II);Germany
Government/Civil;MOVE IIb (Munich Orbital Verification Experiment ;Germany
Government/Civil;Mozhayets 4 (RS-22);Russia
Commercial;MP6;Lithuania
Commercial;MSAT 1 ;USA/Canada
Commercial;MSAT 2 (AMSC-1, ACTel-1);USA/Canada
Government/Military;MTI (Multispectral Thermal Imager);USA
Government;MTSAT-2 (Multi-Functional Transport Satellite);Japan
Military;MUOS-1 (Mobile User Objective System 1);USA
Military;MUOS-2 (Mobile User Objective System 2);USA
Military;MUOS-3 (Mobile User Objective System 3);USA
Military;MUOS-4 (Mobile User Objective System 4);USA
Military;MUOS-5 (Mobile User Objective System 5);USA
Commercial;NanoACE;USA
Government;Nanosat-1;Spain
Government;Nanosat-1B;Spain
Military/Commercial;Navstar GPS IIF-1 (Navstar SVN 62, PRN 25, USA 213);USA
Military/Commercial;Navstar GPS IIF-10 (Navstar SVN 72, PRN 8, USA 262);USA
Military/Commercial;Navstar GPS IIF-11 (Navstar SVN 73, PRN 10, USA 265);USA
Military/Commercial;Navstar GPS IIF-12 (Navstar SVN 70, PRN 32, USA 266);USA
Military/Commercial;Navstar GPS IIF-2 (Navstar SVN 63, PRN 01, USA 232);USA
Military/Commercial;Navstar GPS IIF-3 (Navstar SVN 65, PRN 24, USA 239);USA
Military/Commercial;Navstar GPS IIF-4 (Navstar SVN 66, PRN 27, USA 242);USA
Military/Commercial;Navstar GPS IIF-5 (Navstar SVN 64, PRN 30, USA 248);USA
Military/Commercial;Navstar GPS IIF-6 (Navstar SVN 67, PRN 06, USA 251);USA
Military/Commercial;Navstar GPS IIF-7 (Navstar SVN 68, PRN 09, USA 256);USA
Military/Commercial;Navstar GPS IIF-8 (Navstar SVN 69, PRN 03, USA 258);USA
Military/Commercial;Navstar GPS IIF-9 (Navstar SVN 71, PRN 26, USA 260);USA
Military/Commercial;Navstar GPS III-1 (Navstar SVN 74, PRN 04, USA 289);USA
Military/Commercial;Navstar GPS III-2 (Navstar SVN 78, USA 293);USA
Military/Commercial;Navstar GPS IIR-10 (Navstar SVN 47, PRN 22, USA 175);USA
Military/Commercial;Navstar GPS IIR-11 (Navstar SVN 59, PRN 19, USA 177);USA
Military/Commercial;Navstar GPS IIR-12 (Navstar SVN 60, PRN 23, USA 178);USA
Military/Commercial;Navstar GPS IIR-13 (Navstar SVN 61, PRN 02, USA 180);USA
Military/Commercial;Navstar GPS IIR-2 (Navstar SVN 43, PRN 13, USA 132);USA
Military/Commercial;Navstar GPS IIR-3 (Navstar SVN 46, PRN 11, USA 145);USA
Military/Commercial;Navstar GPS IIR-4 (Navstar SVN 51, PRN 20, USA 150);USA
Military/Commercial;Navstar GPS IIR-5 (Navstar SVN 44, PRN 28, USA 151);USA
Military/Commercial;Navstar GPS IIR-6 (Navstar SVN 41, PRN 14, USA 154);USA
Military/Commercial;Navstar GPS IIR-7 (Navstar SVN 54, PRN 18, USA 156);USA
Military/Commercial;Navstar GPS IIR-8 (Navstar SVN 56, PRN 16, USA 166);USA
Military/Commercial;Navstar GPS IIR-9 (Navstar SVN 45, PRN 21, USA 168);USA
Military/Commercial;Navstar GPS IIR-M-1 (Navstar SVN 53, PRN 17, USA 183);USA
Military/Commercial;Navstar GPS IIR-M-2 (Navstar SVN 52, PRN 31, USA 190);USA
Military/Commercial;Navstar GPS IIR-M-3 (Navstar SVN 58, PRN 12, USA 192);USA
Military/Commercial;Navstar GPS IIR-M-4 (Navstar SVN 55, PRN 15, USA 196);USA
Military/Commercial;Navstar GPS IIR-M-5 (Navstar SVN 57, PRN 29, USA 199);USA
Military/Commercial;Navstar GPS IIR-M-6 (Navstar SVN 48, PRN 07, USA 201);USA
Military/Commercial;Navstar GPS IIR-M-8 (Navstar SVN 50, PRN 05, USA 206);USA
Civil;Naxing 2;China
Civil;Nayif-1 (Emirates Oscar 88, EO88);United Arab Emirates
Government;NEOSSat (Near Earth Object Surveillance Satellite);Canada
Government;NepaliSat-1;Nepal
Government;NextSat-1;South Korea
Civil;Nexus (Fuji-Oscar-99);Japan
Commercial;NigComSat-1R;Nigeria
Government;NigeriaSat-2;Nigeria
Government;Nigeriasat-X;Nigeria
Government;Nilesat 201;Egypt
Commercial;Nimiq 2 ;Canada
Commercial;Nimiq 4;Canada
Commercial;Nimiq 5;Canada
Commercial;Nimiq 6;Canada
Commercial;Ningxia-1 01;China
Commercial;Ningxia-1 02;China
Commercial;Ningxia-1 03;China
Commercial;Ningxia-1 04;China
Commercial;Ningxia-1 05;China
Civil;NIUSat (Noorul Islam University Satellite);India
Government;NOAA-15 (NOAA-K);USA
Government;NOAA-18 (NOAA-N, COSPAS-SARSAT);USA
Government;NOAA-19 (NOAA-N Prime, COSPAS-SARSAT);USA
Government;NOAA-20 (JPSS-1);USA
Commercial;NOOR-1A;USA
Government;NorSat-1;Norway
Government;NorSat-2;Norway
Government/Commercial;NovaSAR-1;United Kingdom
Government;NPP (National Polar-orbiting Operational Environmental Satellite System [NPOESS]);USA
Civil/Military;NPSat-1 (Naval Postgraduate Satellite 1);USA
Military;NROL-151 (USA 294);USA
Military;NROL-76 (USA 276);USA
Civil;Nsight-1 (QB50 - AZ02);South Africa
Commercial;NSLSat-1 ;Israel
Commercial;NSS-10 (Star One C-12, AMC-12, Americom 12, Worldsat 2);Netherlands
Commercial;NSS-11 (Worldsat-1, AAP-1, GE-1A) ;Netherlands
Commercial;NSS-12;Netherlands
Commercial;NSS-5 (Intelsat 803);Netherlands
Commercial;NSS-6 ;Netherlands
Commercial;NSS-7 ;Netherlands
Commercial;NSS-9;Netherlands
Commercial;N-Star C ;Japan
Military;NUDTSat (National University of Defense Satellite, QB50-CN06/BE06);China
Commercial;Nusantara Satu;Indonesia
Commercial;ÑuSat-1 (Fresco);Argentina
Commercial;ÑuSat-2 (Batata);Argentina
Commercial;ÑuSat-3 (Milanesat);Argentina
Commercial;ÑuSat-4 (Ada);Argentina
Commercial;ÑuSat-5 (Maryam);Argentina
Commercial;ÑuSat-7 (Sophie);Argentina
Commercial;ÑuSat-8 (Marie);Argentina
